motif_id,motif,mage_prob_importance,mage_binary_importance
179,*C(C)C(*)O,0.7940493226051331,0
180,*C1COC(*)(*)O1,0.8331978917121887,0
181,*c1ccc(Cl)cc1Cl,0.8904983997344971,0
182,*C1CC(=O)OC(C)CC=CC=CC(O)C(C)CC(*)C(*)C1*,0.8548301458358765,0
183,*C1CC(C)(O)C(*)C(C)O1,0.8643470406532288,0
184,*CC(N)C(=O)O,0.4926184117794037,0
185,*c1ccc(O)c(*)c1,0.8307287693023682,0
186,*c1ccco1,0.855220377445221,0
187,*CCC(*)(*)*,0.8690655827522278,0
188,*C1CC(O)C(O)C(C)O1,0.6897122263908386,0
189,*=Cc1ccc(O)cc1,0.8261966109275818,0
190,*NN,0.7942569851875305,0
191,*CCN,0.8260999321937561,0
192,*c1nnc(C)s1,0.7137982845306396,0
193,*C1OCC(C)(O)C(*)C1O,0.7177618741989136,0
194,*C(=O)C(C)(C)C,0.819970428943634,0
195,*C=NC(*)C(*)=O,0.7865025997161865,0
196,*C1C(N)CC(N)C(O)C1O,0.5469008684158325,0
197,*c1cc2c(cc1F)c(=O)c(*)cn2*,0.9205664992332458,0
198,*C(C)(C)C(=O)O,0.5545135140419006,0
199,*C(C)O,0.7638506889343262,0
200,*CC(*)(O)CC(*)O*,0.7744397521018982,0
201,*C1CC(N)C(O)C(C)O1,0.7564964294433594,0
202,*C(*)(*)N,0.8508164882659912,0
203,*NCNS(*)(=O)=O,0.5778675079345703,0
204,*SCC(C)=C(*)*,0.910467803478241,0
205,*c1ccc(N)cc1,0.8648192882537842,0
206,*c1csc(N=C(N)N)n1,0.7404657006263733,0
207,*=C(CC)c1ccc(O)cc1,0.8530507683753967,0
208,*C(*)C(C)Cl,0.8635990023612976,0
209,*C(C(*)C(*)(*)C)C(*)C(*)(C)C(*)*,0.9335213303565979,0
210,*C1OC(*)C(O)C(O)C1*,0.6644498705863953,0
211,*C1C(O)C(O)C(N=C(N)N)C(O)C1N=C(N)N,0.41096436977386475,0
212,*c1noc(C)c1*,0.8959552049636841,0
213,*CCC(*)C,0.8696398138999939,0
214,*N1CC(=O)NC(=O)C1,0.6786660552024841,0
215,*c1ccc(C)nc1,0.8634286522865295,0
216,*C1CC(O)C(*)C(C)O1,0.8446683883666992,0
217,*c1ncc(*)c(=O)[nH]1,0.7773823142051697,0
218,*SCC(C=C)=C(*)*,0.9194880127906799,0
219,*C(*)C(*)(C)C(*)C(*)C(*)(O)C(*)(*)C,0.8960493803024292,0
220,*C1=CC(=O)OC1,0.6828407049179077,0
-1,UNK,0.0,0
