motif_id,motif,mage_prob_importance,label_0_score,label_1_score
72,*S*,0.7459642887115479,0.0007685942691750824,0.005681648850440979
73,*CCO,0.6529714465141296,0.0005678069428540766,0.0016916750464588404
74,*CCCC(*)*,0.8648092150688171,0.0007235878147184849,0.0012733681360259652
75,*C(F)(F)F,0.93677818775177,0.007179564330726862,1.9037257743548253e-06
76,*c1cccc(*)c1,0.8725593686103821,0.0016023556236177683,0.0010899058543145657
77,*N1CCCCC1,0.7891458868980408,0.0001493351737735793,0.00026157282991334796
78,*C(C)C,0.7869921326637268,0.00402649724856019,0.003329596249386668
79,*C1CCCCC1,0.8462628722190857,0.0044109574519097805,0.00030633891583420336
80,*CCCC*,0.8369715809822083,0.006606834940612316,0.0007695577223785222
81,*CC(N)=O,0.70283043384552,0.0049422187730669975,0.0029346586670726538
82,*C(=O)C(*)=NOC,0.7115538120269775,5.5295902711804956e-05,0.0025683161802589893
83,*SCC(*)=C(*)*,0.8910307288169861,0.00018788609304465353,0.010826590470969677
84,*c1nnnn1C,0.7649301290512085,4.230980630381964e-05,0.0027266149409115314
85,*c1csc(N)n1,0.7122570872306824,0.00017826163093559444,0.010202133096754551
86,*C(*)CC,0.8189727663993835,0.006351612042635679,0.0006421268917620182
87,*c1c(O)oc2ccccc2c1=O,0.5853270292282104,2.0293092006795632e-07,0.0010346171911805868
88,*ON=C(*)C(*)=O,0.728623628616333,1.5422399883391336e-05,0.004396258853375912
89,*CC(=O)O,0.4620048999786377,0.00029248028295114636,0.014393472112715244
90,*c1ccc(O)cc1,0.7532516121864319,8.691300172358751e-05,0.0035951328463852406
91,*c1ccnc(*)c1,0.8217931389808655,0.0,0.0
92,*N1CCOCC1,0.7315693497657776,0.0001289603387704119,3.093246778007597e-05
93,*c1[nH]c2ccccc2c1*,0.8786061406135559,0.0010867087403312325,0.00017458805814385414
94,*N(*)C,0.7332149147987366,0.0006305273273028433,0.0009617376490496099
95,*c1ccc(Cl)c(Cl)c1,0.8844771981239319,0.0011266992660239339,0.00013003006461076438
96,*c1ccc(Cl)cc1*,0.8873263001441956,0.0018835077062249184,1.9148061255691573e-05
97,*C(*)C(*)*,0.8592731952667236,0.017162591218948364,0.008224057964980602
98,*C(=O)C(*)(C)C,0.7525830268859863,0.00025504198856651783,0.00248154578730464
99,*N1CCC(*)(*)CC1,0.8467470407485962,0.00012296295608393848,0.00018038757843896747
100,*C1CCC(N)C(*)O1,0.8191900849342346,0.0004910991410724819,0.005053344648331404
101,*C(=O)CN,0.6184199452400208,0.0008446247084066272,0.004536257591098547
102,*c1ccccn1,0.7896093130111694,0.0008338281768374145,0.0021494035609066486
103,*N1CCNCC1,0.6924605369567871,5.432749094325118e-05,0.0018385740695521235
104,*C1=C(C)NC(C)=C(*)C1*,0.8860961198806763,0.002556290477514267,0.00048644383787177503
105,*[N+](=O)[O-],0.7439354062080383,0.007048964500427246,0.0013109231367707253
106,*CC=C,0.7838723659515381,0.00829065777361393,0.0013092650333419442
107,*C(O)CN,0.6184199452400208,3.492935502436012e-05,0.011121105402708054
108,*c1cccc(O)c1,0.754721999168396,0.00039637211011722684,0.0029618991538882256
109,*C(*)=*,0.8046029806137085,0.008010707795619965,0.0076685706153512
110,*CCC(*)=O,0.7243146896362305,0.0002957369142677635,0.00045726762618869543
111,*CC(C)C(*)*,0.8653472661972046,0.001975719816982746,0.00015742813411634415
112,*C=CC(=O)C=*,0.7498027086257935,0.00026446219999343157,0.00012405779852997512
113,*CC=O,0.6529714465141296,0.000191610844922252,0.010936976410448551
114,*C1OC(C)C(*)C(*)C1O,0.8161203265190125,0.0001529432920506224,0.002291960408911109
115,*C1OC(*)C(O)C(O)C1O,0.48277536034584045,5.60258595214691e-05,0.0012868333142250776
116,*c1ccc(*)cc1,0.8723993897438049,0.0017258243169635534,0.002024752786383033
117,*c1ccc(O)c(O)c1,0.619819164276123,0.00011128106416435912,0.006229965947568417
118,*S(N)(=O)=O,0.5977968573570251,0.0004006056406069547,0.0018109562806785107
119,*CC(C)C(*)(*)O,0.8046337962150574,0.0006933169206604362,0.00024694515741430223
120,*C#N,0.7056993842124939,0.00043844670290127397,0.0008187806815840304
121,*c1c(Cl)cccc1Cl,0.8822474479675293,0.004120136611163616,0.0016496049938723445
122,*N1CCCC1,0.7651366591453552,0.0005874370690435171,0.00020829947607126087
123,*c1ccc(O)c(*)c1*,0.8272514939308167,0.0002053920179605484,0.0003745846915990114
124,*c1nc2ccccc2c(*)c1*,0.9107023477554321,0.0001575828791828826,1.875451926025562e-05
125,*CCCC(=O)O,0.4812401235103607,8.32494260976091e-05,0.006577164400368929
126,*C(=O)C(*)C,0.7300474643707275,0.001391067635267973,0.0042457920499145985
127,*C1CC1,0.785679042339325,0.004311533644795418,0.0011055973591282964
128,*C(*)(*)O,0.7419419884681702,0.000881737214513123,0.006315319798886776
129,*CC(*)C(*)=O,0.7709323763847351,0.0009347232989966869,0.0036936954129487276
130,*S(*)(=O)=O,0.598814845085144,0.0003485396155156195,0.0010351529344916344
131,*C(C)(C)C,0.810137927532196,0.005221879109740257,0.003838693257421255
132,*CC(*)N(*)C*,0.8510981202125549,0.0005193649558350444,0.00010090686555486172
133,*c1c(*)c(O)c(*)c(*)c1O,0.7901387214660645,0.0002718936593737453,0.0024854373186826706
